Start Date,9/30/2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,10/30/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPY US Equity,Last Price,High Price,Low Price,Open Price - Realtime,Volume - Realtime,,VIX Index,Last Price,High Price,Low Price,Open Price - Realtime,Volume - Realtime,,UX1 Index,Last Price,High Price,Low Price,Open Price - Realtime,Volume - Realtime,,USGG10YR Index,Last Price,High Price,Low Price,Open Price - Realtime,Volume - Realtime,,USOHHYTO Index,Last Price,High Price,Low Price,Open Price - Realtime,Volume - Realtime
Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME,,Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME,,Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME,,Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME,,Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME
9/30/2015,191.63,191.825,189.44,190.37,163452044,,9/30/2015,24.5,25.88,23.25,24.64,#N/A N/A,,9/30/2015,23.025,24.01,22.5,23.88,79047,,9/30/2015,2.0368,2.102,2.0332,2.0596,0,,9/30/2015,675.245,676.658,673.881,676.3,#N/A N/A
10/1/2015,192.13,192.49,189.82,192.08,131078964,,10/1/2015,22.55,25.23,22.55,23.14,#N/A N/A,,10/1/2015,22.225,23.67,21.9,22.95,91469,,10/1/2015,2.0368,2.0702,2.0069,2.0385,0,,10/1/2015,679.925,680.031,676.101,676.249,#N/A N/A
10/2/2015,195,195.03,189.12,189.77,211003342,,10/2/2015,20.94,24.47,20.35,23.99,#N/A N/A,,10/2/2015,21.075,23.74,21,22.2,101842,,10/2/2015,1.9929,2.0597,1.9022,2.0456,0,,10/2/2015,695.163,695.163,677.687,678.722,#N/A N/A
10/5/2015,198.47,198.74,196.33,196.46,126320842,,10/5/2015,19.54,20.42,19.14,20.31,#N/A N/A,,10/5/2015,19.875,21.46,19.7,21.15,72680,,10/5/2015,2.0562,2.0615,1.9754,1.9824,0,,10/5/2015,678.679,690.065,677.707,690.065,#N/A N/A
10/6/2015,197.79,198.98,197,198.31,110274530,,10/6/2015,19.4,20.32,18.82,19.54,#N/A N/A,,10/6/2015,20.325,20.52,19.5,19.88,60123,,10/6/2015,2.0315,2.0756,2.0262,2.0491,0,,10/6/2015,664.769,673.537,664.769,673.412,#N/A N/A
10/7/2015,199.41,199.825,197.48,198.9,124307295,,10/7/2015,18.4,19.73,18.33,18.96,#N/A N/A,,10/7/2015,19.475,20.6,19.35,20.4,67427,,10/7/2015,2.0668,2.0845,2.0333,2.0333,0,,10/7/2015,649.397,659.67,649.039,659.67,#N/A N/A
10/8/2015,201.21,201.55,198.59,198.95,153055231,,10/8/2015,17.42,19.02,16.34,18.62,#N/A N/A,,10/8/2015,18.425,20.15,18.1,19.5,72996,,10/8/2015,2.104,2.12,2.0315,2.0668,0,,10/8/2015,645.954,653.443,645.525,652.034,#N/A N/A
10/9/2015,201.33,201.9,200.58,201.38,107069240,,10/9/2015,17.08,18.2,16.89,17.15,#N/A N/A,,10/9/2015,18.175,19.03,18.05,18.4,61144,,10/9/2015,2.0881,2.1361,2.0774,2.0951,0,,10/9/2015,632.87,640.885,632.87,640.885,#N/A N/A
10/12/2015,201.52,201.76,200.91,201.42,56395585,,10/12/2015,16.17,17.81,16.15,17.68,#N/A N/A,,10/12/2015,16.725,18.45,16.7,18.2,59354,,10/12/2015,2.0881,2.0881,2.0881,2.0881,0,,10/12/2015,632.87,640.885,632.87,640.885,#N/A N/A
