variable,transformation,adf_pvalue,adf_stat,kpss_pvalue,kpss_stat
dVIX,level,0.01,-15.260837103628063,0.1,0.010727500593993411
dVIX,diff,0.01,-24.113854187694493,0.1,0.002125908936682928
slope,level,0.01,-8.144748401167764,0.01,0.2197075014026779
slope,diff,0.01,-19.43301998268487,0.1,0.004379259181268093
dSlope,level,0.01,-19.43301998268487,0.1,0.004379259181268093
dSlope,diff,0.01,-26.06946336040329,0.1,0.002339952350800435
d10Y,level,0.01,-13.636594597789164,0.1,0.10457729616593064
d10Y,diff,0.01,-23.79330295012107,0.1,0.001918632312332469
dHY,level,0.01,-13.688850346698501,0.1,0.031852540637873884
dHY,diff,0.01,-20.81350658154077,0.1,0.0020447866997755984
realized_vol_5,level,0.01,-7.415553807604615,0.01,0.4822902335648519
realized_vol_5,diff,0.01,-16.69373733925517,0.1,0.0039367885437377155
realized_vol_20,level,0.01,-7.361877585583288,0.01,0.5715153364332027
realized_vol_20,diff,0.01,-11.322493420577942,0.1,0.009733733219178003
vix_level,level,0.01,-5.368028178385584,0.01,1.4556962065604324
vix_level,diff,0.01,-15.260837103628063,0.1,0.010727500593993411
vix_ma,level,0.01,-4.348681581553865,0.01,1.616682983534396
vix_ma,diff,0.01,-12.166150871222943,0.1,0.020860338948986618
vix_dev,level,0.01,-12.856968758302312,0.1,0.01570289192957469
vix_dev,diff,0.01,-16.66756758603235,0.1,0.0023631121313836398
vol_surp,level,0.01,-14.296381512871017,0.1,0.008910779912382186
vol_surp,diff,0.01,-19.24218925182822,0.1,0.002321432864700325
vol_ma_ratio,level,0.01,-14.20642867796932,0.1,0.011682675599073251
vol_ma_ratio,diff,0.01,-19.691805631447693,0.1,0.00223608650779483
range,level,0.01,-6.693031797724032,0.01,0.5970706018248746
range,diff,0.01,-18.19456341918588,0.1,0.0035629062247419657
ma_5,level,0.7482573412779215,-1.5986245806907635,0.01,2.0740418382352708
ma_5,diff,0.01,-12.63324268100295,0.1,0.05139437926755029
ma_20,level,0.8561825310616997,-1.343707600804056,0.01,2.0497039476790606
ma_20,diff,0.01,-10.538699604394505,0.1,0.09614538704104009
ma_50,level,0.7017512933995466,-1.7084680072054486,0.01,2.017483089722565
ma_50,diff,0.01,-6.247857496832461,0.01,0.22774851377146255
price_ma5_ratio,level,0.01,-12.975482180440249,0.1,0.030293097145859562
price_ma5_ratio,diff,0.01,-21.391654731624588,0.1,0.0024088637309733294
price_ma20_ratio,level,0.01,-11.157738675268034,0.1,0.048670627917835496
price_ma20_ratio,diff,0.01,-15.913535355884601,0.1,0.0030162275096205175
ma_cross,level,0.01,-9.837531486219595,0.1,0.0457714370051888
ma_cross,diff,0.01,-17.214422936246542,0.1,0.0029049029046989533
rsi,level,0.01,-13.88457178167106,0.1,0.1108091764899403
rsi,diff,0.01,-21.731799324818546,0.1,0.00332560873689741
R,level,0.01,-13.665196644324972,0.1,0.028448443211058137
R,diff,0.01,-23.13590962718377,0.1,0.0018028440982909664
R_lag1,level,0.01,-13.661445526262026,0.1,0.028471109354544957
R_lag1,diff,0.01,-23.119605508602532,0.1,0.0018056007565032338
R_lag2,level,0.01,-13.659470195893606,0.1,0.028263500526059842
R_lag2,diff,0.01,-23.10801214471818,0.1,0.002006928819439424
R_lag3,level,0.01,-13.661657045237606,0.1,0.027152456030531832
R_lag3,diff,0.01,-23.127071321210487,0.1,0.0018915867958080542
R_lag5,level,0.01,-13.652874174484236,0.1,0.025994037904015364
R_lag5,diff,0.01,-23.130228882487902,0.1,0.0018849913840042938
cumret_5,level,0.01,-12.384698491723933,0.1,0.03229716738911093
cumret_5,diff,0.01,-18.05643583868118,0.1,0.0026948456833639075
cumret_20,level,0.01,-10.655289441333073,0.1,0.0597802466247301
cumret_20,diff,0.01,-13.285710933091249,0.1,0.00475920175425528
vix_realized_ratio,level,0.01,-9.082797484579284,0.023176232676518936,0.18086337952928283
vix_realized_ratio,diff,0.01,-15.40025590197019,0.1,0.0038611830872028363
yield_level,level,0.778636689804854,-1.5268698699623124,0.01,4.189017099641708
yield_level,diff,0.01,-13.636594597789164,0.1,0.10457729616593064
yield_ma,level,0.6754097548125357,-1.7706874478691164,0.01,4.220945239039669
yield_ma,diff,0.01,-8.93379043142174,0.01,0.23155715528275958
yield_dev,level,0.01,-9.512869028433133,0.017741753439069738,0.1953553241624807
yield_dev,diff,0.01,-17.17159401642298,0.1,0.003070073271278351
hy_level,level,0.06715855999321757,-3.3202663821900917,0.01,1.0409376896053755
hy_level,diff,0.01,-13.688850346698501,0.1,0.031852540637873884
hy_ma,level,0.28663374592924673,-2.68896465896173,0.01,1.0525460267428028
hy_ma,diff,0.01,-11.296713321162468,0.1,0.0641096933595425
hy_dev,level,0.01,-11.471306111398686,0.1,0.050048220701909195
hy_dev,diff,0.01,-16.684913921556035,0.1,0.0026501623626810364
vix_r_interaction,level,0.01,-14.746825754116138,0.1,0.020489434953027585
vix_r_interaction,diff,0.01,-23.951871497294885,0.1,0.001729985884751085
vol_vol_interaction,level,0.01,-7.431150787413447,0.01,0.5602449937823022
vol_vol_interaction,diff,0.01,-11.285604373360757,0.1,0.009746046084215036
