Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME
2015-09-30,191.63,191.825,189.44,190.37,163452044
2015-10-01,192.13,192.49,189.82,192.08,131078964
2015-10-02,195,195.03,189.12,189.77,211003342
2015-10-05,198.47,198.74,196.33,196.46,126320842
2015-10-06,197.79,198.98,197,198.31,110274530
2015-10-07,199.41,199.825,197.48,198.9,124307295
2015-10-08,201.21,201.55,198.59,198.95,153055231
2015-10-09,201.33,201.9,200.58,201.38,107069240
2015-10-12,201.52,201.76,200.91,201.42,56395585
2015-10-13,200.25,202.16,200.05,200.65,88038718
2015-10-14,199.29,200.87,198.94,200.18,99106161
2015-10-15,202.35,202.36,199.64,200.08,134142195
2015-10-16,203.27,203.29,201.92,202.83,114580052
2015-10-19,203.37,203.37,202.13,202.5,76523897
2015-10-20,203.09,203.84,202.5471,202.85,78448484
2015-10-21,201.85,203.79,201.65,203.61,102038033
2015-10-22,205.26,205.51,201.85,202.98,174911723
2015-10-23,207.51,207.95,206.3,207.25,144442340
2015-10-26,207,207.37,206.56,207.3,69032965
2015-10-27,206.6,207,205.79,206.2,77905770
2015-10-28,208.95,208.98,206.21,207,135906725
2015-10-29,208.83,209.27,208.21,208.35,90525498
2015-10-30,207.93,209.44,207.74,209.06,131076942
2015-11-02,210.39,210.62,208.17,208.32,86270811
2015-11-03,211,211.66,209.7,209.97,95246052
2015-11-04,210.36,211.5,209.7201,211.35,96224477
2015-11-05,210.15,210.98,209.09,210.43,78408744
2015-11-06,210.04,210.32,208.46,209.74,110471473
2015-11-09,208.08,209.49,206.95,209.31,131008660
2015-11-10,208.56,208.6,207.19,207.51,75874602
2015-11-11,207.74,208.94,207.66,208.88,67845971
2015-11-12,204.84,207.06,204.82,206.5,121315200
2015-11-13,202.54,204.67,202.435,204.35,153577050
2015-11-16,205.62,205.69,202.18,202.32,117645231
2015-11-17,205.47,207.04,204.88,205.99,121123744
2015-11-18,208.73,208.9,205.99,206.04,121342544
2015-11-19,208.55,209.05,208.2,208.59,88220465
2015-11-20,209.3108,210.12,208.86,209.45,94011519
2015-11-23,209.07,209.98,208.52,209.38,64931172
2015-11-24,209.35,209.83,207.41,207.87,98874365
2015-11-25,209.32,209.74,209.01,209.5,51980062
2015-11-26,209.32,209.74,209.01,209.5,51980062
2015-11-27,209.56,209.8,208.86,209.43,37317779
2015-11-30,208.69,209.89,208.56,209.75,112822700
2015-12-01,210.68,210.82,209.11,209.44,97858418
2015-12-02,208.529,211,208.23,210.615,108441259
2015-12-03,205.61,209.15,204.7511,208.83,166224154
2015-12-04,209.62,209.97,205.93,206.08,192913879
2015-12-07,208.35,209.7295,207.2,209.23,102027111
