Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN
2015-09-30,2.0368,2.102,2.0332,2.0596
2015-10-01,2.0368,2.0702,2.0069,2.0385
2015-10-02,1.9929,2.0597,1.9022,2.0456
2015-10-05,2.0562,2.0615,1.9754,1.9824
2015-10-06,2.0315,2.0756,2.0262,2.0491
2015-10-07,2.0668,2.0845,2.0333,2.0333
2015-10-08,2.104,2.12,2.0315,2.0668
2015-10-09,2.0881,2.1361,2.0774,2.0951
2015-10-12,2.0881,2.0881,2.0881,2.0881
2015-10-13,2.0439,2.0881,2.0351,2.0881
2015-10-14,1.9718,2.0474,1.9718,2.0439
2015-10-15,2.0175,2.0263,1.977,1.9788
2015-10-16,2.0334,2.0351,1.9981,2.0245
2015-10-19,2.0228,2.0546,2.0122,2.0228
2015-10-20,2.067,2.0776,2.0122,2.021
2015-10-21,2.0228,2.0706,2.0157,2.0564
2015-10-22,2.0263,2.0529,2.0016,2.0193
2015-10-23,2.0866,2.0973,2.021,2.0352
2015-10-26,2.0564,2.0831,2.0494,2.0813
2015-10-27,2.037,2.0582,2.0069,2.0529
2015-10-28,2.1009,2.1045,2.0264,2.0405
2015-10-29,2.1725,2.1779,2.0796,2.0902
2015-10-30,2.1421,2.1816,2.1403,2.1617
2015-11-02,2.1709,2.187,2.1278,2.1422
2015-11-03,2.2105,2.2232,2.1637,2.1637
2015-11-04,2.225,2.2395,2.1961,2.2087
2015-11-05,2.2323,2.2613,2.2178,2.225
2015-11-06,2.3252,2.3472,2.2216,2.2341
2015-11-09,2.3436,2.3747,2.3234,2.3252
2015-11-10,2.3419,2.3511,2.309,2.3436
2015-11-11,2.3301,2.3301,2.3301,2.3301
2015-11-12,2.3116,2.3416,2.2975,2.3301
2015-11-13,2.2658,2.3186,2.2658,2.3151
2015-11-16,2.2676,2.2763,2.236,2.2412
2015-11-17,2.2658,2.3116,2.2447,2.2746
2015-11-18,2.2728,2.2975,2.257,2.2711
2015-11-19,2.2482,2.2746,2.2307,2.2728
2015-11-20,2.2623,2.264,2.2289,2.2535
2015-11-23,2.2377,2.2958,2.2377,2.2623
2015-11-24,2.2377,2.25,2.2044,2.2394
2015-11-25,2.2341,2.2464,2.2219,2.2377
2015-11-26,2.2341,2.2341,2.2341,2.2341
2015-11-27,2.2201,2.2341,2.2025,2.2341
2015-11-30,2.206,2.2429,2.2043,2.2148
2015-12-01,2.1431,2.2376,2.1431,2.213
2015-12-02,2.1797,2.199,2.1518,2.1536
2015-12-03,2.3136,2.3455,2.1762,2.1832
2015-12-04,2.2693,2.3563,2.2587,2.3012
2015-12-07,2.2288,2.2906,2.2024,2.2799
2015-12-08,2.2182,2.2429,2.1954,2.2323
2015-12-09,2.2164,2.2693,2.1954,2.2235
2015-12-10,2.2305,2.2376,2.2041,2.2147
2015-12-11,2.127,2.2376,2.1183,2.2323
