Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN
2015-09-30,675.245,676.658,673.881,676.3
2015-10-01,679.925,680.031,676.101,676.249
2015-10-02,695.163,695.163,677.687,678.722
2015-10-05,678.679,690.065,677.707,690.065
2015-10-06,664.769,673.537,664.769,673.412
2015-10-07,649.397,659.67,649.039,659.67
2015-10-08,645.954,653.443,645.525,652.034
2015-10-09,632.87,640.885,632.87,640.885
2015-10-12,632.87,640.885,632.87,640.885
2015-10-13,635.712,637.144,634.813,634.813
2015-10-14,640.612,641.137,639.568,639.664
2015-10-15,643.13,648.087,643.13,648.087
2015-10-16,636.327,640.684,636.157,640.218
2015-10-19,632.291,634.447,632.291,632.827
2015-10-20,628.773,632.03,628.511,632.03
2015-10-21,628.677,628.677,624.549,626.557
2015-10-22,631.133,631.858,628.216,628.388
2015-10-23,620.011,624.699,619.272,624.539
2015-10-26,623.092,623.264,619.428,620.74
2015-10-27,628.26,628.544,622.368,622.368
2015-10-28,617.84,625.747,617.772,625.592
2015-10-29,611.172,614.885,611.076,614.885
2015-10-30,609.497,613.859,609.497,611.395
2015-11-02,604.548,607.838,604.251,607.612
2015-11-03,599.891,604.524,599.891,604.015
2015-11-04,599.14,602,597.417,601.087
2015-11-05,602.604,603.404,599.255,599.675
2015-11-06,609.796,609.796,597.836,602.323
2015-11-09,617.655,617.825,576.546,609.049
2015-11-10,627.017,627.513,622.616,622.616
2015-11-11,627.017,627.513,622.616,622.616
2015-11-12,639.407,639.483,626.442,626.442
2015-11-13,652.085,652.334,641.444,641.444
2015-11-16,658.057,658.719,654.688,654.688
2015-11-17,650.488,655.402,649.973,655.389
2015-11-18,653.544,653.969,652.679,652.679
2015-11-19,657.868,657.868,653.157,653.157
2015-11-20,660.322,660.594,658.357,658.357
2015-11-23,660.501,661.016,659.415,659.713
2015-11-24,665.382,667.13,664.368,664.368
2015-11-25,667.278,668.343,666.986,666.986
2015-11-26,667.278,668.343,666.986,666.986
2015-11-27,668.448,669.374,668.444,669.119
2015-11-30,667.173,667.548,666.517,667.164
2015-12-01,663.951,668.59,663.951,668.328
2015-12-02,666.809,669.24,665.6,668.673
2015-12-03,663.69,670.365,663.177,664.174
2015-12-04,666.164,667.636,661.335,663.816
2015-12-07,677.004,677.187,665.567,665.567
2015-12-08,690.753,691.057,682.699,682.699
2015-12-09,694.713,695.492,689.786,692.136
2015-12-10,696.07,696.74,695.65,695.776
2015-12-11,728.324,728.324,704.087,704.087
2015-12-14,749.986,749.986,732.591,732.591
2015-12-15,737.7,750.444,737.576,750.444
2015-12-16,729.023,735.253,728.78,735.253
2015-12-17,731.358,731.38,723.862,726.764
2015-12-18,741.322,741.8,733.905,733.905
2015-12-21,744.594,744.925,740.629,740.629
2015-12-22,738.929,744.834,738.725,743.911
2015-12-23,730.057,737.563,729.13,737.563
2015-12-24,728.734,729.841,727.596,727.596
2015-12-25,728.734,729.841,727.596,727.596
2015-12-28,729.414,730.57,728.654,729.036
2015-12-29,720.686,729.015,720.35,728.438
2015-12-30,720.911,720.911,718.914,720.391
2015-12-31,718.951,723.054,717.608,721.244
2016-01-01,718.951,723.054,717.608,721.244
2016-01-04,728.868,731.009,726.563,726.563
2016-01-05,725.531,731.01,724.688,731.01
2016-01-06,735.401,735.502,731.982,732.172
2016-01-07,748.62,749.167,743.374,743.553
2016-01-08,751.106,751.157,743.557,744.984
2016-01-11,739.803,740.652,733.779,734.632
2016-01-12,740.606,740.606,738.438,739.939
2016-01-13,750.915,752.384,737.756,738.95
2016-01-14,761.82,761.904,756.32,756.32
2016-01-15,788.126,788.75,773.154,773.154
2016-01-18,788.126,788.75,773.154,773.154
2016-01-19,791.66,792.422,786.108,786.108
2016-01-20,818.731,819.522,804.103,804.103
2016-01-21,813.982,822.546,813.864,822.358
2016-01-22,792.039,804.024,792.039,804.024
2016-01-25,792.47,792.779,788.994,791.348
2016-01-26,790.534,792.741,788.516,792.494
2016-01-27,784.914,786.535,779.996,785.85
2016-01-28,777.61,783.334,776.113,780.994
2016-01-29,776.663,780.323,775.066,780.323
2016-02-01,776.989,777.177,774.747,776.296
2016-02-02,794.981,794.981,780.31,780.31
2016-02-03,797.618,801.736,792.919,793.276
2016-02-04,796.196,796.763,792.357,795.786
2016-02-05,798.026,798.683,791.623,795.755
2016-02-08,824.242,824.242,808.201,808.201
2016-02-09,847.022,847.317,837.364,837.364
2016-02-10,852.029,852.029,843.577,844.695
2016-02-11,873.068,877.875,870.443,870.93
2016-02-12,859.948,872.148,859.948,872.148
2016-02-15,859.948,872.148,859.948,872.148
2016-02-16,849.795,857.472,848.837,855.963
2016-02-17,828.105,844.255,827.34,844.255
2016-02-18,825.538,825.929,820.229,822.24
2016-02-19,823.83,826.112,821.267,822.99
2016-02-22,813.64,819.87,812.593,819.053
2016-02-23,820.146,820.209,808.048,810.213
2016-02-24,821.036,830.548,820.178,824.536
2016-02-25,815.132,820.964,815.132,820.528
2016-02-26,797.379,810.498,797.377,810.498
2016-02-29,790.609,796.005,789.325,795.936
2016-03-01,766.664,787.246,766.649,787.246
2016-03-02,751.313,763.74,750.787,762.586
2016-03-03,744.91,748.678,744.75,748.678
2016-03-04,728.178,739.712,727.902,739.712
2016-03-07,723.838,730.239,723.665,729.781
2016-03-08,734.473,734.538,729.194,729.572
2016-03-09,733.669,734.192,731.302,731.876
2016-03-10,723.146,731.781,721.468,731.781
2016-03-11,704.354,717.862,704.354,717.862
2016-03-14,700.706,704.126,700.169,703.39
2016-03-15,706.736,706.992,704.17,704.17
2016-03-16,716.941,716.966,706.781,708.021
2016-03-17,707.071,717.17,707.071,717.17
2016-03-18,701.884,707.336,701.765,706.542
2016-03-21,694.059,701.658,694.059,701.658
2016-03-22,692.85,698.61,692.717,697.065
2016-03-23,700.028,700.201,692.085,692.385
2016-03-24,707.096,708.776,704.283,704.283
2016-03-25,707.096,708.776,704.283,704.283
2016-03-28,711.53,712.319,708.588,708.744
2016-03-29,724.215,724.395,715.745,715.745
2016-03-30,719.177,722.208,717.763,722.006
2016-03-31,718.134,719.52,716.619,719.52
2016-04-01,708.797,716.813,708.797,716.813
2016-04-04,709.602,710.281,707.477,709.276
2016-04-05,716.75,717.904,714.552,714.552
2016-04-06,710.066,715.808,709.772,715.808
2016-04-07,716.298,716.525,712.608,712.609
2016-04-08,709.607,712.561,709.327,712.561
2016-04-11,706.382,708.049,705.368,707.61
2016-04-12,695.897,703.757,695.897,703.757
2016-04-13,683.032,691.717,682.898,690.464
2016-04-14,673.944,678.78,673.711,678.441
2016-04-15,676.646,677.749,674.264,674.674
2016-04-18,675.299,678.965,675.164,678.965
2016-04-19,662.493,670.883,662.26,670.544
2016-04-20,649.313,660.817,649.268,660.695
2016-04-21,646.303,646.402,642.039,644.85
2016-04-22,642.948,644.608,642.44,643.854
2016-04-25,643.502,645.453,643.502,645.453
2016-04-26,641.045,643.331,640.595,642.864
2016-04-27,640.906,641.856,638.086,641.814
2016-04-28,635.639,638.876,634.475,638.876
2016-04-29,634.237,636.398,632.165,632.165
2016-05-02,629.046,632.574,629.01,632.574
2016-05-03,642.575,642.646,635.785,635.785
2016-05-04,650.349,650.714,644.828,645.699
2016-05-05,655.525,655.881,648.091,648.091
2016-05-06,645.045,660.783,645.045,657.054
2016-05-09,651.48,651.662,646.678,646.678
2016-05-10,647.103,650.935,646.819,650.935
2016-05-11,644.108,646.473,643.633,646.372
2016-05-12,637.489,639.845,637.384,639.845
2016-05-13,640.602,640.602,636.54,637.941
2016-05-16,632.074,637.185,632,637.185
2016-05-17,625.917,630.763,625.912,629.774
2016-05-18,621.171,624.577,618.359,624.577
2016-05-19,627.403,628.548,620.946,621.548
2016-05-20,625.088,626.535,624.64,626.535
2016-05-23,624.731,625.173,623.053,624.78
2016-05-24,617.728,622.731,617.48,622.536
2016-05-25,612.341,615.157,611.847,615.034
2016-05-26,614.678,614.678,611.338,611.338
2016-05-27,609.811,613.89,609.684,613.654
2016-05-30,609.811,613.89,609.684,613.654
2016-05-31,611.914,612.973,607.661,608.001
2016-06-01,612.2,616.109,611.912,613.965
2016-06-02,612.698,614.161,611.686,611.686
2016-06-03,620.661,621.867,614.382,614.382
2016-06-06,605.505,610.552,605.425,610.332
2016-06-07,599.704,604.566,599.659,604.537
2016-06-08,593.249,598.041,592.984,598.041
2016-06-09,593.989,595.613,593.881,594.785
2016-06-10,604.186,604.576,596.988,596.988
2016-06-13,612.832,612.984,606.631,606.631
2016-06-14,621.994,622.594,616.736,616.736
2016-06-15,625.152,625.416,620.514,621.764
2016-06-16,631.407,636.069,627.498,627.498
2016-06-17,625.562,630.619,625.5,630.376
2016-06-20,606.791,616.211,606.593,616.097
2016-06-21,601.189,605.768,600.754,604.093
2016-06-22,600.062,601.818,599.186,601.784
2016-06-23,587.568,594.214,587.568,594.214
2016-06-24,622.532,624.959,620.245,624.189
2016-06-27,648.891,648.929,633.054,633.054
2016-06-28,641.521,643.806,641.471,643.08
2016-06-29,623.36,636.178,623.341,636.178
2016-06-30,619.879,623.944,619.459,622.944
2016-07-01,612.868,620.125,611.963,619.043
2016-07-04,612.868,620.125,611.963,619.043
2016-07-05,615.999,618.445,615.999,616.726
2016-07-06,615.385,619.952,614.362,619.952
2016-07-07,609.17,612.177,608.608,612.177
2016-07-08,601.039,606.66,600.132,606.66
2016-07-11,582.398,594.269,582.325,593.813
2016-07-12,565.979,575.683,565.726,575.683
2016-07-13,569.926,571.789,568.802,569.177
2016-07-14,561.224,564.007,560.961,564.007
2016-07-15,559.114,559.772,555.194,559.772
2016-07-18,557.524,559.864,556.831,558.54
2016-07-19,558.492,559.937,557.907,559.937
2016-07-20,553.014,556.29,552.939,556.29
2016-07-21,551.37,551.69,548.779,551.077
2016-07-22,548.649,550.516,548.031,548.924
2016-07-25,545.99,546.698,545.001,545.001
2016-07-26,552.512,552.661,548.749,548.749
2016-07-27,558.02,558.347,552.487,552.519
2016-07-28,561.158,561.518,557.175,557.259
2016-07-29,567.904,568.157,561.75,561.75
2016-08-01,565.518,567.753,563.777,564.572
