Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN,VOLUME
2015-09-30,23.025,24.01,22.5,23.88,79047
2015-10-01,22.225,23.67,21.9,22.95,91469
2015-10-02,21.075,23.74,21,22.2,101842
2015-10-05,19.875,21.46,19.7,21.15,72680
2015-10-06,20.325,20.52,19.5,19.88,60123
2015-10-07,19.475,20.6,19.35,20.4,67427
2015-10-08,18.425,20.15,18.1,19.5,72996
2015-10-09,18.175,19.03,18.05,18.4,61144
2015-10-12,16.725,18.45,16.7,18.2,59354
2015-10-13,18.275,18.3,16.6,16.7,72230
2015-10-14,18.325,18.95,17.7,18.3,66423
2015-10-15,16.575,18.3,16.55,18.25,61653
2015-10-16,16.1,17.07,16.05,16.6,54167
2015-10-19,15.275,16.6,15.23,16.15,56330
2015-10-20,16.075,16.15,15.15,15.25,43840
2015-10-21,15.5,16.12,15.25,16.05,2045
2015-10-22,16.025,18.15,15.9,18.15,120731
2015-10-23,16.6,16.7,15.53,16.15,101126
2015-10-26,16.925,17.2,16.35,16.5,59762
2015-10-27,16.475,17.25,16.3,16.9,68308
2015-10-28,15.975,17.06,15.85,16.5,90286
2015-10-29,16.175,16.63,15.95,16,60914
2015-10-30,16.625,16.8,15.95,16.15,55607
2015-11-02,15.875,17.1,15.45,16.66,63291
2015-11-03,16.125,16.15,15.53,15.9,58518
2015-11-04,16.725,16.8,15.75,16.1,75481
2015-11-05,16.025,16.93,16,16.7,71492
2015-11-06,15.675,16.68,15.65,16.05,85094
2015-11-09,17.025,17.3,15.65,15.8,84561
2015-11-10,16.225,17.27,16.05,17.025,60893
2015-11-11,16.775,16.8,15.93,16.2,51543
2015-11-12,18.575,18.65,16.35,16.75,88007
2015-11-13,20.325,20.6,18.23,18.55,104559
2015-11-16,18.075,21.7,18,21.25,91679
2015-11-17,18.975,19.8,17.54,18.15,62678
2015-11-18,18.65,19.3,18.55,19,3260
2015-11-19,18.175,18.5,17.4,17.75,78277
2015-11-20,17.425,18.3,17.35,18.2,67491
2015-11-23,17.025,17.8,16.95,17.45,58668
2015-11-24,17.425,18,17,17.05,70842
2015-11-25,16.775,17.62,16.75,17.4,53186
2015-11-26,16.775,17.62,16.75,17.4,53186
2015-11-27,17.175,17.2,16.51,16.8,35436
2015-11-30,16.975,17.45,16.85,17.1,61910
2015-12-01,16.125,17.03,16.08,17,69273
2015-12-02,16.775,17.15,16,16.2,88629
2015-12-03,18.325,19.1,16.18,16.8,147914
2015-12-04,16.225,18.35,16.2,18.3,120056
2015-12-07,16.525,17.6,16.03,16.2,88903
2015-12-08,17.775,18.2,16.5,16.5,94325
2015-12-09,18.975,19.4,17.06,17.8,134311
2015-12-10,19.325,19.45,18.3,18.95,89897
2015-12-11,23.65,24.28,18.95,19.35,174524
2015-12-14,22.425,25.4,21.8,23.85,137386
2015-12-15,20.625,22.6,20.25,22.45,67919
2015-12-16,19.9,20.9,19.85,20.7,2280
2015-12-17,19.275,19.3,17.65,18.1,105702
2015-12-18,20.425,20.5,18.95,19.2,125152
2015-12-21,18.825,20.4,18.8,20.4,68708
2015-12-22,17.825,19.2,17.75,18.85,75434
2015-12-23,17.875,18.2,17.3,17.85,69011
2015-12-24,18.225,18.25,17.8,17.85,20563
2015-12-25,18.225,18.25,17.8,17.85,20563
2015-12-28,17.825,18.88,17.8,18.15,60002
2015-12-29,17.475,18,17.45,17.85,52467
2015-12-30,18.35,18.4,17.4,17.5,36993
2015-12-31,18.525,18.73,18.05,18.35,51414
2016-01-01,18.525,18.73,18.05,18.35,51414
2016-01-04,19.825,21.27,18.25,18.5,128809
2016-01-05,19.425,20.66,19.25,19.85,89874
2016-01-06,20.325,21.51,19.35,19.4,111100
2016-01-07,23.525,23.65,20.08,20.35,175674
2016-01-08,25.275,25.35,21.33,23.5,132008
2016-01-11,23.475,26.45,23.09,25.25,161604
2016-01-12,22.075,24.47,21.65,23.45,112826
2016-01-13,24.725,25.38,20.8,22.05,128730
2016-01-14,23.575,25.75,22.67,24.65,143004
2016-01-15,26.475,28.45,23.3,23.55,167943
2016-01-18,26.475,28.45,23.3,23.55,167943
2016-01-19,25.85,27.45,23.94,26.7,108712
2016-01-20,28.3,29.6,25.65,25.8,4519
2016-01-21,25.075,26,24,24.8,140970
2016-01-22,22.725,25.2,22.6,25.05,97627
2016-01-25,24.025,24.08,22.24,22.75,65710
2016-01-26,22.925,24.85,22.7,24,68459
2016-01-27,23.775,24.15,22.25,22.9,89708
2016-01-28,23.275,24.08,22.65,23.7,80509
2016-01-29,21.625,23.45,21.5,23.25,77753
2016-02-01,21.525,22.45,21.28,21.8,66716
2016-02-02,23.175,23.42,21.53,21.55,87872
2016-02-03,22.775,24.75,22.6,23.15,111563
2016-02-04,23.075,23.58,22.3,22.75,72226
2016-02-05,24.125,24.65,22.68,23.01,98467
2016-02-08,25.425,26.8,23.8,24,101629
2016-02-09,26.125,27.08,25.3,25.4,101656
2016-02-10,26.275,26.55,24.68,26.1,75196
2016-02-11,28.125,29.45,26.25,26.25,153592
2016-02-12,26.875,28.55,26.49,28.05,71872
