Dates,PX_LAST,PX_HIGH,PX_LOW,OPEN
2015-09-30,24.5,25.88,23.25,24.64
2015-10-01,22.55,25.23,22.55,23.14
2015-10-02,20.94,24.47,20.35,23.99
2015-10-05,19.54,20.42,19.14,20.31
2015-10-06,19.4,20.32,18.82,19.54
2015-10-07,18.4,19.73,18.33,18.96
2015-10-08,17.42,19.02,16.34,18.62
2015-10-09,17.08,18.2,16.89,17.15
2015-10-12,16.17,17.81,16.15,17.68
2015-10-13,17.67,17.7,16.14,17.08
2015-10-14,18.03,18.78,17.3,17.67
2015-10-15,16.05,17.85,16.04,17.62
2015-10-16,15.05,16.86,15.05,15.64
2015-10-19,14.98,16.23,14.82,15.68
2015-10-20,15.75,16.34,14.72,15.17
2015-10-21,16.7,16.7,14.41,14.98
2015-10-22,14.45,15.92,14.45,15.02
2015-10-23,14.46,15.12,13.24,13.46
2015-10-26,15.29,15.43,14.68,14.76
2015-10-27,15.43,15.99,14.78,15.75
2015-10-28,14.33,15.73,12.8,15.14
2015-10-29,14.61,15.46,14.33,14.8
2015-10-30,15.07,15.39,14,14.6
2015-11-02,14.15,15.51,13.67,15.41
2015-11-03,14.54,14.73,13.81,14.33
2015-11-04,15.51,15.88,13.96,14.04
2015-11-05,15.05,16.39,15,15.39
2015-11-06,14.33,16,14.32,14.91
2015-11-09,16.52,17.09,15.14,15.34
2015-11-10,15.29,16.96,15.24,16.69
2015-11-11,16.06,16.15,15.02,15.07
2015-11-12,18.37,18.5,16.65,17.06
2015-11-13,20.08,20.67,18.2,18.68
2015-11-16,18.16,20.55,17.25,20.51
2015-11-17,18.84,19.59,16.86,17.82
2015-11-18,16.85,19.45,16.8,19.01
2015-11-19,16.99,18.26,16,16.25
2015-11-20,15.47,16.38,15.47,16.13
2015-11-23,15.62,16.74,15.38,16.15
2015-11-24,15.93,17.21,15.48,16.53
2015-11-25,15.19,15.89,15.05,15.55
2015-11-26,15.19,15.89,15.05,15.55
2015-11-27,15.12,16.09,15.12,15.31
